;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
0;;;;3,67;3,67;3,67;1,75;;-0,5;;;;;;;;;;;
1;;;1,0;3,5;3,25;0,915;;4,0;;3,67;2,67;;3,085;3,415;3,0;;3,5;;;
2;;;;1,0;3,0;0,585;;;;;;3,0;;;3,5;;;;;
3;;;;;1,5;;;;;;;;;;;;2,0;;;
4;;;;;;-1,415;;3,5;;3,67;2,67;;2,67;3,33;3,0;;;;;
5;;;;;;;;;;;;-0,33;-2,33;;2,33;;;;2,33;
6;;;;;;;;;2,3333333333333335;;;;2,0;;3,0;;;1,25;;
7;;;;;;;;;;;;;4,0;;4,0;;;-0,33;;
8;;;;;;;;;;;;;;;;0,75;;;;
9;;;;;;;;;;;;;3,67;;;;;;;
10;;;;;;;;;;;;;2,67;;;2,67;;;;
11;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;3,0;3,0;3,5;;2,5;;
13;;;;;;;;;;;;;;;;3,33;;;;
14;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;-2,0;;
16;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;
